time,aqi_us,pm2_5,temperature_c,humidity,pressure_hpa,wind_speed_ms,city
2025-07-01 00:00:00,67,13.2,17.0,73,851.3,1.04,Kigali
2025-07-01 01:00:00,66,14.6,15.9,74,850.4,1.59,Kigali
2025-07-01 02:00:00,65,16.9,16.0,75,850.5,1.56,Kigali
2025-07-01 03:00:00,65,18.6,15.8,76,850.7,1.48,Kigali
2025-07-01 04:00:00,64,21.0,14.7,81,850.5,1.59,Kigali
2025-07-01 05:00:00,63,27.8,15.2,80,851.0,1.74,Kigali
2025-07-01 06:00:00,63,14.8,19.2,63,853.7,0.84,Kigali
2025-07-01 07:00:00,62,10.0,21.3,50,855.0,1.58,Kigali
2025-07-01 08:00:00,61,10.8,22.3,45,855.2,2.72,Kigali
2025-07-01 09:00:00,61,10.9,24.0,39,855.2,3.12,Kigali
2025-07-01 10:00:00,61,10.8,23.8,39,854.4,3.71,Kigali
2025-07-01 11:00:00,61,10.8,23.6,39,853.6,2.34,Kigali
2025-07-01 12:00:00,61,14.1,24.8,36,852.8,0.74,Kigali
2025-07-01 13:00:00,61,13.6,23.5,42,852.8,1.03,Kigali
2025-07-01 14:00:00,61,13.7,23.3,42,852.4,1.36,Kigali
2025-07-01 15:00:00,61,14.5,23.0,45,852.2,0.99,Kigali
2025-07-01 16:00:00,61,17.3,21.4,57,851.3,1.25,Kigali
2025-07-01 17:00:00,61,21.5,19.9,60,851.2,1.43,Kigali
2025-07-01 18:00:00,61,24.6,18.9,68,851.6,0.92,Kigali
2025-07-01 19:00:00,61,25.9,18.4,67,852.1,0.4,Kigali
2025-07-01 20:00:00,60,26.8,18.1,67,852.5,0.3,Kigali
2025-07-01 21:00:00,60,25.6,17.3,69,852.3,0.5,Kigali
2025-07-01 22:00:00,61,22.5,16.5,72,851.8,0.81,Kigali
2025-07-01 23:00:00,61,21.8,15.9,74,851.2,0.71,Kigali
2025-07-02 00:00:00,62,22.0,15.3,74,850.7,1.35,Kigali
2025-07-02 01:00:00,63,23.2,15.2,74,850.3,1.13,Kigali
2025-07-02 02:00:00,63,22.7,14.3,78,849.9,1.57,Kigali
2025-07-02 03:00:00,64,21.4,13.7,81,849.7,1.73,Kigali
2025-07-02 04:00:00,64,21.0,13.2,83,849.7,1.9,Kigali
2025-07-02 05:00:00,64,23.9,14.5,78,850.9,2.06,Kigali
2025-07-02 06:00:00,64,21.5,18.9,63,853.7,0.9,Kigali
2025-07-02 07:00:00,64,12.9,21.5,50,855.2,1.0,Kigali
2025-07-02 08:00:00,65,11.8,22.7,45,855.6,2.67,Kigali
2025-07-02 09:00:00,65,11.3,23.5,43,855.2,2.71,Kigali
2025-07-02 10:00:00,65,10.9,24.9,39,854.8,2.24,Kigali
2025-07-02 11:00:00,65,10.3,24.6,40,853.7,2.24,Kigali
2025-07-02 12:00:00,65,10.4,24.5,40,852.8,1.68,Kigali
2025-07-02 13:00:00,64,10.2,25.9,36,852.6,1.37,Kigali
2025-07-02 14:00:00,64,10.2,25.6,36,852.1,0.9,Kigali
2025-07-02 15:00:00,64,11.2,25.0,38,851.6,0.86,Kigali
2025-07-02 16:00:00,64,15.0,23.3,49,850.9,0.85,Kigali
2025-07-02 17:00:00,63,21.4,21.6,54,850.1,1.5,Kigali
2025-07-02 18:00:00,63,28.9,20.6,65,850.5,0.36,Kigali
2025-07-02 19:00:00,64,35.6,20.5,61,851.5,0.32,Kigali
2025-07-02 20:00:00,65,39.1,19.9,61,851.8,0.35,Kigali
2025-07-02 21:00:00,66,32.8,18.7,65,851.3,0.22,Kigali
2025-07-02 22:00:00,66,25.7,17.8,64,851.0,0.76,Kigali
2025-07-02 23:00:00,67,22.2,16.6,70,850.2,1.05,Kigali
2025-07-03 00:00:00,67,27.2,15.9,73,849.7,0.97,Kigali
2025-07-03 01:00:00,67,27.1,16.5,69,850.3,0.86,Kigali
2025-07-03 02:00:00,67,26.8,15.4,74,849.8,1.4,Kigali
2025-07-03 03:00:00,68,25.7,14.6,78,849.6,1.55,Kigali
2025-07-03 04:00:00,68,24.9,14.6,78,849.7,1.57,Kigali
2025-07-03 05:00:00,69,28.7,15.7,74,850.4,1.5,Kigali
2025-07-03 06:00:00,69,21.4,19.7,61,853.5,0.43,Kigali
2025-07-03 07:00:00,69,11.2,21.9,48,855.0,2.07,Kigali
2025-07-03 08:00:00,69,9.6,23.3,44,855.5,2.61,Kigali
2025-07-03 09:00:00,69,8.9,25.3,38,855.5,2.74,Kigali
2025-07-03 10:00:00,68,8.4,25.9,37,854.7,3.21,Kigali
2025-07-03 11:00:00,68,8.4,25.4,39,853.5,2.6,Kigali
2025-07-03 12:00:00,68,17.6,25.6,37,852.6,2.12,Kigali
2025-07-03 13:00:00,69,19.4,26.0,35,852.0,1.15,Kigali
2025-07-03 14:00:00,69,17.7,26.7,33,851.7,1.49,Kigali
2025-07-03 15:00:00,70,18.6,26.1,34,851.7,1.5,Kigali
2025-07-03 16:00:00,71,20.8,24.1,49,851.1,0.86,Kigali
2025-07-03 17:00:00,71,24.5,22.8,53,850.9,1.0,Kigali
2025-07-03 18:00:00,72,28.3,22.7,47,851.9,1.2,Kigali
2025-07-03 19:00:00,72,33.8,21.3,60,852.2,0.78,Kigali
2025-07-03 20:00:00,71,37.3,20.6,60,852.6,0.96,Kigali
2025-07-03 21:00:00,71,34.7,19.7,62,852.4,0.43,Kigali
2025-07-03 22:00:00,71,31.0,19.7,67,852.4,0.1,Kigali
2025-07-03 23:00:00,72,27.8,18.5,66,851.3,0.75,Kigali
2025-07-04 00:00:00,72,26.5,17.7,69,850.7,0.74,Kigali
2025-07-04 01:00:00,72,26.0,16.5,70,850.0,1.28,Kigali
2025-07-04 02:00:00,72,26.8,15.5,75,849.7,1.46,Kigali
2025-07-04 03:00:00,72,28.4,14.7,79,849.6,1.66,Kigali
2025-07-04 04:00:00,72,30.6,14.3,80,849.3,1.66,Kigali
2025-07-04 05:00:00,73,37.0,15.7,74,850.8,1.84,Kigali
2025-07-04 06:00:00,74,27.0,20.2,58,853.7,0.76,Kigali
2025-07-04 07:00:00,74,16.6,22.5,47,855.1,1.36,Kigali
2025-07-04 08:00:00,75,15.6,23.6,43,855.6,2.95,Kigali
2025-07-04 09:00:00,75,15.8,24.6,42,855.3,2.84,Kigali
2025-07-04 10:00:00,76,15.8,26.1,37,854.8,2.59,Kigali
2025-07-04 11:00:00,76,15.8,26.4,37,853.8,3.15,Kigali
2025-07-04 12:00:00,77,25.6,26.3,37,852.7,3.05,Kigali
